tissue,tilesize,binarize,n_cells,n_tiles,n_nnz,density,sparsity,mean_cell_coverage,median_cell_coverage,mean_tile_coverage,median_tile_coverage
deepseq_488B,500,FALSE,7841,6062095,647826956,0.013629,0.9864,143545.26,151144,185.6682,132
deepseq_488B,500,TRUE,7841,6062095,647826956,0.013629,0.9864,82620.45,86906,106.8652,78
deepseq_488B,5000,FALSE,7841,606219,491647128,0.103431,0.8966,143328.81,150930,1853.8535,1378
deepseq_488B,5000,TRUE,7841,606219,491647128,0.103431,0.8966,62702.1,65988,811.0058,648
deepseq_489,500,FALSE,3987,6062095,256716314,0.010621,0.9894,110612.16,110587,72.7489,52
deepseq_489,500,TRUE,3987,6062095,256716314,0.010621,0.9894,64388.34,64606,42.3478,31
deepseq_489,5000,FALSE,3987,606219,197211709,0.081594,0.9184,110443.35,110404,726.3673,537
deepseq_489,5000,TRUE,3987,606219,197211709,0.081594,0.9184,49463.68,50086,325.3143,256
lowseq_488B,500,FALSE,11381,6062095,446656360,0.006474,0.9935,66420.39,66125,124.6979,82
lowseq_488B,500,TRUE,11381,6062095,446656360,0.006474,0.9935,39245.79,39135,73.6802,50
lowseq_488B,5000,FALSE,11381,606219,357412899,0.051804,0.9482,66323.76,66040,1245.1452,877
lowseq_488B,5000,TRUE,11381,606219,357412899,0.051804,0.9482,31404.35,31454,589.5772,435
lowseq_489,500,FALSE,4178,6062095,117404316,0.004635,0.9954,46870.67,44738,32.3033,22
lowseq_489,500,TRUE,4178,6062095,117404316,0.004635,0.9954,28100.6,26867,19.367,13
lowseq_489,5000,FALSE,4178,606219,94631330,0.037363,0.9626,46801.49,44674.5,322.5512,231
lowseq_489,5000,TRUE,4178,606219,94631330,0.037363,0.9626,22649.91,21841.5,156.1009,116
