"Method","Cluster","N_cells","Assigned_Identity","Module_Score","Second_Identity","Second_Module_Score","Confidence_Gap"
"Baseline","C1",941,"Mast cell",1.212,"Dendritic cell",0.887,0.326
"Baseline","C2",1059,"T cell (general)",1.565,"Plasma cell",1.392,0.173
"Baseline","C3",675,"HER2+ tumor",1.299,"Epithelial/Tumor (general)",1.119,0.18
"Baseline","C4",554,"Dendritic cell",0.501,"Proliferating",0.164,0.337
"Baseline","C5",949,"HER2+ tumor",0.605,"Basal/myoepithelial",0.565,0.041
"Alpha-Blend","C1",680,"Epithelial/Tumor (general)",1.343,"HER2+ tumor",1.296,0.047
"Alpha-Blend","C2",484,"Dendritic cell",0.955,"Cytotoxic T cell",0.47,0.484
"Alpha-Blend","C3",999,"Epithelial/Tumor (general)",0.664,"HER2+ tumor",0.556,0.108
"Alpha-Blend","C4",528,"Mast cell",1.349,"Dendritic cell",0.829,0.52
"Alpha-Blend","C5",387,"Cytotoxic T cell",1.458,"Plasma cell",0.693,0.765
"Alpha-Blend","C6",197,"Plasma cell",1.368,"DNA-repair-deficient tumor",1.122,0.246
"Alpha-Blend","C7",903,"T cell (general)",1.946,"DNA-repair-deficient tumor",1.051,0.894
"Iterative","C1",235,"Dendritic cell",1.168,"Cytotoxic T cell",0.465,0.702
"Iterative","C2",765,"Epithelial/Tumor (general)",1.445,"HER2+ tumor",1.375,0.07
"Iterative","C3",379,"HER2+ tumor",1.049,"Epithelial/Tumor (general)",0.973,0.076
"Iterative","C4",728,"Epithelial/Tumor (general)",0.676,"HER2+ tumor",0.41,0.266
"Iterative","C5",216,"Plasma cell",1.475,"DNA-repair-deficient tumor",1.176,0.299
"Iterative","C6",335,"Cytotoxic T cell",0.856,"Dendritic cell",0.69,0.166
"Iterative","C7",557,"Mast cell",1.473,"Luminal hormone-receptor+ tumor",0.873,0.6
"Iterative","C8",488,"T cell (general)",2.135,"Plasma cell",1.123,1.012
"Iterative","C9",475,"DNA-repair-deficient tumor",1.806,"Cytotoxic T cell",1.793,0.013
